Price,Close,High,Low,Open,Volume
Ticker,8766.T,8766.T,8766.T,8766.T,8766.T
Date,,,,,
2014-01-22,715.0294799804688,721.0982624794514,710.0444568327871,713.2955761406295,6674100
2014-01-23,710.4779052734375,727.3837254915666,709.8276814188941,726.0832777824797,8048700
2014-01-24,694.2222900390625,704.4091830653557,689.6707231809821,703.3254237552234,10489200
2014-01-27,669.5137939453125,675.3658085619783,668.4301139924949,671.8980009637506,10929600
2014-01-28,666.0458984375,678.1833821753596,665.3956349905163,674.932263372985,8116800
2014-01-29,686.8531494140625,687.9368293668572,669.5137939311778,673.1984486421305,7173000
2014-01-30,657.376220703125,676.2327097242828,652.1744306283229,672.9815909275316,13234800
2014-01-31,657.5929565429688,668.4300325564427,653.474885913643,666.479361255208,8864400
2014-02-03,642.6380004882812,658.4601433039214,640.4706005174011,652.6081276646761,7923000
2014-02-04,614.4615478515625,627.0325292524916,614.2448197936807,623.5646818938078,13769400
2014-02-05,635.4852905273438,637.4359616507427,623.9980314805539,630.9337245727463,16612800
2014-02-06,634.835205078125,641.1207155179231,632.6678054755976,637.2193724214652,12458100
2014-02-07,649.5736694335938,651.9578369379648,636.785919635992,640.2538068580802,9413400
2014-02-10,648.2730712890625,662.5779936244279,642.8545533302599,660.4105943782084,9490800
2014-02-12,672.764892578125,676.0160117100635,655.2088889521701,656.7260646515705,11564100
2014-02-13,667.3463745117188,673.1983886063791,665.6124311807604,671.897941029788,6252900
2014-02-14,669.9472045898438,690.320828395441,663.4449276519733,667.3463096892982,10699800
2014-02-17,671.8978881835938,676.4494543436725,665.6123788289348,669.7304492687417,5899200
2014-02-18,688.153564453125,692.0549073456976,676.6662241318671,678.4002072216934,8046900
2014-02-19,685.1192016601562,691.1879843302029,680.1341783719588,684.9025132822121,7957200
2014-02-20,667.5630493164062,682.0847400847493,661.927803056506,682.0847400847493,8812200
2014-02-21,681.6514282226562,684.4690122621301,674.7156535723292,677.3165492229427,7516800
2014-02-24,668.4301147460938,680.7843678396499,656.0758616525375,671.8980017212592,11190300
2014-02-25,671.8978881835938,676.882910377437,667.5630103538897,668.6467694978231,8778600
2014-02-26,660.4105834960938,667.9965402626235,659.5435920626859,661.2775352429945,7509300
2014-02-27,652.6080322265625,656.2926076695703,645.0220739080794,654.5587038210426,9008400
2014-02-28,652.82470703125,654.9921065083598,647.6229165369772,652.3912112612234,7696200
2014-03-03,651.7409057617188,652.1744014774121,639.3866548862743,648.489787110286,6594900
2014-03-04,652.3912353515625,662.5780886745129,640.9039740435367,643.2881016504406,6604500
2014-03-05,659.9772338867188,664.3120729538938,655.2089386933873,662.1446335770484,5319600
2014-03-06,665.6124877929688,667.7798873761272,649.5736197553565,659.9772012529398,6797700
2014-03-07,661.7110595703125,674.2820390331912,654.9920542601716,672.9815915133586,9048900
2014-03-10,657.1597290039062,663.6619689357175,653.6918412492581,660.6275770720313,5463900
2014-03-11,668.2133178710938,670.8142131458084,659.5436801842158,662.1445754589304,6120900
2014-03-12,656.50927734375,662.5780192800564,653.4748865323421,661.711067485301,9741000
2014-03-13,664.962158203125,669.9472201068007,659.9770962994493,661.060815761946,7362000
2014-03-14,653.4749755859375,659.1102622360806,649.3569043915144,658.8934944929694,20410500
2014-03-17,651.0907592773438,653.0414306996325,641.1206741255936,648.0564079670133,11256600
2014-03-18,656.9426879882812,666.6960835160185,655.4255125307031,663.2281972036877,6798600
2014-03-19,643.0713500976562,657.8097697325067,637.2193357893864,654.775378714196,15175200
2014-03-20,639.1698608398438,649.7901674418513,633.7513435427384,645.8888254631746,14926200
2014-03-24,636.785888671875,650.8740855710831,630.9338739164906,649.7903659060624,15476100
2014-03-25,638.7366333007812,640.4705770257992,625.0819306433784,630.7172179847972,12968100
2014-03-26,651.7409057617188,653.9083446536786,640.6871023468474,643.2879972679935,9600600
2014-03-27,653.9376220703125,659.6488812021905,635.266255223688,658.7702414209597,12213900
2014-03-28,658.770263671875,658.989913569214,638.121886232338,649.764054779245,7786800
2014-03-31,680.5169067382812,682.7135666499795,663.8225086057622,667.7764481809551,9474000
2014-04-01,682.493896484375,689.3034860996011,674.5860573242896,685.3495464087812,7185600
2014-04-02,691.0606079101562,698.0898860497493,685.7886895270067,689.3033285968032,8514600
